Model,CV Accuracy (mean),CV Accuracy (SD),CV Macro-F1 (mean),CV Macro-F1 (SD),"CV ROC-AUC (OvR, macro)",Test Accuracy,Test Macro-F1,"Test ROC-AUC (OvR, macro)"
SVM (RBF),0.677843137254902,0.012762908108892147,0.6803160122987731,0.011244444718427248,0.8588381498255435,0.697986577181208,0.7034161665648809,0.8722490347490348
Random Forest,0.7148179271708683,0.05146630253313617,0.7164968762624971,0.048732608843875376,0.8815790215393301,0.7449664429530202,0.7449280388416853,0.891470398970399
XGBoost,0.718109243697479,0.040053368112484056,0.7210179406248373,0.03703313410256938,0.8880978962510252,0.7718120805369127,0.7732516222062005,0.8916773916773916
Stacking Ensemble,0.7298599439775911,0.025199873438008644,0.7267866898228166,0.024651224013274995,0.8857495051521335,0.7516778523489933,0.7468753583304667,0.8985253110253111
