Model,CV Accuracy (mean),CV Accuracy (SD),CV Macro-F1 (mean),CV Macro-F1 (SD),"CV ROC-AUC (OvR, macro)",Test Accuracy,Test Macro-F1,"Test ROC-AUC (OvR, macro)"
SVM (RBF),0.6962464985994398,0.033843099696404644,0.6972665411406359,0.0342813382017394,0.8620892141284852,0.6912751677852349,0.6958313291646624,0.8587301587301588
Random Forest,0.7181792717086836,0.03653163684894248,0.7203699215724856,0.033646149085358734,0.883427469531032,0.7315436241610739,0.7337681811366021,0.8812912912912912
XGBoost,0.714719887955182,0.0453475447497204,0.717278315168177,0.04314633447636738,0.8858213291327914,0.738255033557047,0.7392839240959542,0.8834555984555985
Stacking Ensemble,0.7315686274509805,0.027853280310412364,0.7265437571666465,0.02914767146719367,0.8881179702315414,0.738255033557047,0.7269708024425006,0.8863556413556414
